ウタウ	歌う
デル	出る
ホウ	方
ジョウズ	上手
ミル	見る
トマル	止まる
ナガイ	長い
ハヤイ	早い
ナナツ	七つ
タブン	多分
ヘタ	下手
クル	来る
オワル	終わる
ツヨイ	強い
ムコウ	向こう
ココノツ	九つ
タツ	立つ
キル	切る
ハナス	話す
スクナイ	少ない
ハジメ	始め
チイサイ	小さい
キル	着る
アカイ	赤い
マイアサ	毎朝
ワタス	渡す
ケサ	今朝
コウサテン	交差点
タノシイ	楽しい
ヒクイ	低い
コウバン	交番
ウワギ	上着
ヒトリ	一人
マツ	待つ
シロイ	白い
フルイ	古い
ヨム	読む
ノル	乗る
ホソイ	細い
アゲル	上げる
ノボル	登る
オモシロイ	面白い
セビロ	背広
クロイ	黒い
アウ	会う
マルイ	丸い
アツイ	熱い
シュクダイ	宿題
ハヤイ	速い
ツクル	作る
ワカル	分かる
ヨウフク	洋服
オモイ	重い
オナジ	同じ
ヒトツ	一つ
クニ	国
トシ	年
オトナ	大人
オオキイ	大きい
フタツ	二つ
フタリ	二人
ダス	出す
ミッツ	三つ
サン	三
トキドキ	時々
カイシャ	会社
ジブン	自分
ウシロ	後ろ
イツツ	五つ
カリル	借りる
ジカン	時間
オソイ	遅い
ヒガシ	東
ミセル	見せる
ヨッツ	四つ
ヨン	四
イマ	今
コンゲツ	今月
コトシ	今年
サライネン	再来年
アタラシイ	新しい
オカネ	お金
イタイ	痛い
キュウ	九
ガクセイ	学生
コドモ	子供
ダイガク	大学
タカイ	高い
アカルイ	明るい
ハジマル	始まる
ゼンブ	全部
ガイコク	外国
ガイコクジン	外国人
カラダ	体
ナル	成る
ホントウ	本当
ハチ	八
ロク	六
ウタ	歌
モンダイ	問題
シメル	締める
ホシイ	欲しい
ライゲツ	来月
ライネン	来年
タベル	食べる
シチ	七
モツ	持つ
トル	取る
ヤマ	山
ハナシ	話
カヨウビ	火曜日
オンナ	女
オンナノコ	女の子
キタ	北
ゴゴ	午後
ゴゼン	午前
ヒャク	百
リッパ	立派
チガウ	違う
ケス	消す
ハレ	晴れ
センゲツ	先月
