思っ,思う
言っ,言う
行っ,行う
持っ,持つ
書い,書く
入っ,入る
使っ,使う
聞い,聞く
出し,出す
読ん,読む
知っ,知る
作っ,作る
買っ,買う
話し,話す
終わっ,終わる
帰っ,帰る
変わっ,変わる
若い,若く
示し,示す
残っ,残る
探し,探す
違っ,違う
乗っ,乗る
続い,続く
置い,置く
待っ,待つ
戻っ,戻る
行い,行く
向かっ,向かう
取っ,取る
歩い,歩く
進ん,進む
申し,申す
始まっ,始まる
立っ,立つ
繰り返し,繰り返す
分かっ,分かつ
死ん,死ぬ
住ん,住む
頑張っ,頑張る
飲ん,飲む
送っ,送る
決まっ,決まる
暮らし,暮らす
思い出し,思い出す
起こっ,起こる
働い,働く
語っ,語る
選ん,選ぶ
開い,開く
上がっ,上がる
描い,描く
目指し,目指す
残し,残す
間違っ,間違う
走っ,走る
頂い,頂く
売っ,売る
戦い,戦く
試し,試す
通っ,通う
付い,付く
呼ん,呼ぶ
基づい,基づく
聴い,聴く
集まっ,集まる
扱い,扱く
困っ,困る
過ごし,過ごす
押し,押す
致し,致す
驚い,驚く
切っ,切る
会っ,会う
笑っ,笑う
見直し,見直す
起こし,起こす
並ん,並ぶ
楽しん,楽しむ
動い,動く
載っ,載る
合っ,合う
座っ,座る
気づい,気づく
喜ん,喜ぶ
愛し,愛す
学ん,学ぶ
果たし,果たす
減っ,減る
撮っ,撮る
失っ,失う
回っ,回る
見通し,見通す
取り組ん,取り組む
払っ,払う
落とし,落とす
届い,届く
殺し,殺す
達し,達す
流し,流す
着い,着く
遊ん,遊む
飛ん,飛ぶ
勝っ,勝つ
気に入っ,気に入る
出会っ,出会う
歌っ,歌う
悩ん,悩む
向い,向く
広がっ,広がる
引い,引く
直し,直す
至っ,至る
経っ,経つ
育っ,育つ
落ち着い,落ち着く
打っ,打つ
伝わっ,伝わる
返し,返す
隠し,隠す
渡し,渡す
亡くなっ,亡くなる
当たっ,当たる
泣い,泣く
通し,通す
表し,表す
願っ,願う
下がっ,下がる
守っ,守る
近づい,近づく
許し,許す
回し,回す
異なっ,異なる
